step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc
65,2.686,7.6432,1.0219,5.4667,-1.7963,-1.2676,1.6862,5.447,8.586,10.073,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7364,-1.1039,1.7,2.6691,-0.5299,0,0,0,0.468,0.152,0.848,0,0,0.0
66,2.72,7.6073,0.9967,5.5005,-1.7939,-1.2598,1.688,5.48,8.543,10.053,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7354,-1.1027,1.7,2.6679,-0.525,0,0,0,0.46,0.15,0.85,0,0,0.0
67,2.754,7.5716,0.9718,5.5343,-1.7874,-1.2491,1.689,5.514,8.499,10.034,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7344,-1.1015,1.7,2.6668,-0.5598,0,0,0,0.459,0.151,0.849,0,0,0.0
68,2.787,7.536,0.9471,5.568,-1.7802,-1.2355,1.6897,5.548,8.456,10.016,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7334,-1.1004,1.7,2.6656,-0.5084,0,0,0,0.45,0.147,0.853,0,0,0.0
69,2.821,7.5006,0.9226,5.6018,-1.772,-1.2221,1.6902,5.582,8.413,9.998,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7324,-1.0992,1.7,2.6645,-0.5481,0,0,0,0.449,0.148,0.852,0,0,0.0
70,2.855,7.4653,0.8985,5.6357,-1.7624,-1.2051,1.6901,5.616,8.37,9.98,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7313,-1.0982,1.7,2.6633,-0.5338,0,0,0,0.438,0.139,0.861,0,0,0.0
71,2.889,7.4303,0.8747,5.6694,-1.7519,-1.1879,1.6899,5.649,8.328,9.963,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7303,-1.0971,1.7,2.6622,-0.537,0,0,0,0.437,0.143,0.857,0,0,0.0
72,2.923,7.3954,0.8514,5.7032,-1.7432,-1.1699,1.6896,5.683,8.286,9.947,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7292,-1.0961,1.7,2.6611,-0.5278,0,0,0,0.427,0.137,0.863,0,0,0.0
73,2.957,7.3608,0.8283,5.737,-1.7326,-1.1513,1.6889,5.717,8.244,9.931,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7281,-1.0952,1.7,2.66,-0.5495,0,0,0,0.428,0.136,0.864,0,0,0.0
74,2.991,7.3263,0.8057,5.7708,-1.7234,-1.1319,1.6884,5.751,8.203,9.916,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.727,-1.0943,1.7,2.6589,-0.5418,0,0,0,0.419,0.128,0.872,0,0,0.0
75,3.025,7.292,0.7834,5.8045,-1.7139,-1.1136,1.688,5.785,8.162,9.901,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7259,-1.0934,1.7,2.6578,-0.5467,0,0,0,0.421,0.134,0.866,0,0,0.0
76,3.059,7.2579,0.7615,5.8383,-1.7072,-1.0962,1.6878,5.818,8.121,9.887,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7247,-1.0926,1.7,2.6568,-0.5359,0,0,0,0.414,0.134,0.866,0,0,0.0
77,3.093,7.2239,0.7399,5.8721,-1.6995,-1.0802,1.6876,5.852,8.081,9.873,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7236,-1.0918,1.7,2.6557,-0.5414,0,0,0,0.418,0.132,0.868,0,0,0.0
78,3.125,7.19,0.7186,5.9058,-1.6943,-1.0651,1.6876,5.886,8.041,9.86,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7224,-1.0911,1.7,2.6546,-0.53,0,0,0,0.413,0.13,0.87,0,0,0.0
79,3.157,7.1562,0.6976,5.9396,-1.6877,-1.0516,1.6876,5.92,8.001,9.847,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7212,-1.0905,1.7,2.6536,-0.5364,0,0,0,0.418,0.137,0.863,0,0,0.0
