step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc
76,5.833,19.2669,6.8721,27.5798,-1.8151,-1.3658,1.6883,3.114,29.288,40.093,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7979,-1.3527,1.7,2.82,-0.4923,0,0,0,0.259,0.117,0.883,0,0,0.0
77,5.9,19.2308,6.8451,27.6135,-1.8041,-1.3519,1.6879,3.215,29.243,40.083,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7979,-1.3527,1.7,2.82,-0.5268,0,0,0,0.262,0.117,0.883,0,0,0.0
78,5.967,19.1949,6.8183,27.6473,-1.7939,-1.3376,1.6878,3.393,29.198,40.073,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7979,-1.3527,1.7,2.82,-0.4751,0,0,0,0.262,0.122,0.878,0,0,0.0
79,6.034,19.1592,6.7918,27.6811,-1.7843,-1.326,1.6877,3.57,29.153,40.064,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7979,-1.3528,1.7,2.82,-0.5141,0,0,0,0.263,0.124,0.876,0,0,0.0
80,6.104,19.1237,6.7656,27.7148,-1.7748,-1.3133,1.6875,3.746,29.109,40.055,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7979,-1.3528,1.7,2.82,-0.4755,0,0,0,0.264,0.124,0.876,0,0,0.0
81,6.173,19.0884,6.7395,27.7486,-1.766,-1.3027,1.6875,3.92,29.065,40.046,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7979,-1.3528,1.7,2.82,-0.5142,0,0,0,0.265,0.128,0.872,0,0,0.0
82,6.243,19.0532,6.7137,27.7823,-1.758,-1.2917,1.6877,4.052,29.022,40.038,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7979,-1.3528,1.7,2.82,-0.4664,0,0,0,0.266,0.128,0.872,0,0,0.0
83,6.313,19.0182,6.688,27.8161,-1.7514,-1.2835,1.6878,4.171,28.978,40.03,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7978,-1.3529,1.7,2.82,-0.5044,0,0,0,0.268,0.131,0.869,0,0,0.0
84,6.383,18.9833,6.6625,27.8498,-1.7455,-1.2746,1.688,4.29,28.935,40.022,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7978,-1.3529,1.7,2.82,-0.4628,0,0,0,0.268,0.125,0.875,0,0,0.0
85,6.452,18.9485,6.6371,27.8836,-1.7408,-1.2684,1.6883,4.409,28.892,40.014,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7978,-1.353,1.7,2.82,-0.5002,0,0,0,0.271,0.13,0.87,0,0,0.0
86,6.546,18.9138,6.6119,27.9174,-1.7363,-1.2618,1.6886,4.527,28.849,40.007,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7977,-1.353,1.7,2.82,-0.4504,0,0,0,0.27,0.125,0.875,0,0,0.0
87,6.64,18.8791,6.5867,27.9511,-1.7327,-1.2582,1.6889,4.644,28.806,39.999,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7977,-1.353,1.7,2.82,-0.4872,0,0,0,0.273,0.123,0.877,0,0,0.0
88,6.734,18.8445,6.5617,27.9849,-1.7293,-1.2538,1.6892,4.762,28.764,39.992,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7977,-1.3531,1.652,2.7913,-0.4407,0,0,0,0.271,0.126,0.874,0,0,0.0
89,6.828,18.81,6.5366,28.0184,-1.7267,-1.2518,1.6716,4.879,28.721,39.984,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7976,-1.3531,1.604,2.7632,-0.4749,0,0,0,0.272,0.129,0.871,0,0,0.0
