step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc,terrain_id,phase_reason,rel_vx_to_pad,rel_vy_to_pad,pad_frame_dx,pad_frame_dy
41,1.14,-27.0476,21.7273,1.2019,-1.6491,0.3612,1.6833,0.872,74.37,74.377,36.1244,-17.5185,0.2,0.0,0.0,0.0,-1.8832,0.5782,1.7,2.6021,-0.052,0,0,0,0.857,0.513,0.487,0,0,0.0,4,SEARCH_PHASE,-1.6491,0.3612,-63.172,39.2458
42,1.168,-27.0812,21.7348,1.2357,-1.68,0.3788,1.6871,1.136,74.403,74.41,36.1244,-17.5185,0.2,0.0,0.0,0.0,-1.9267,0.5985,1.7,2.6383,-0.0837,0,0,0,0.853,0.51,0.49,0,0,0.0,4,SEARCH_PHASE,-1.68,0.3788,-63.2056,39.2533
43,1.197,-27.1154,21.7428,1.2695,-1.7102,0.3995,1.6896,1.169,74.436,74.444,36.1244,-17.5185,0.2,0.0,0.0,0.0,-1.9709,0.6172,1.7,2.675,-0.0941,0,0,0,0.845,0.516,0.484,0,0,0.0,4,SEARCH_PHASE,-1.7102,0.3995,-63.2398,39.2613
44,1.226,-27.1502,21.7512,1.3033,-1.7405,0.4207,1.6916,1.203,74.47,74.478,36.1244,-17.5185,0.2,0.0,0.0,0.0,-2.0067,0.6492,1.7,2.7089,-0.0776,0,0,0,0.846,0.511,0.489,0,0,0.0,4,SEARCH_PHASE,-1.7405,0.4207,-63.2746,39.2697
45,1.254,-27.1856,21.7601,1.3372,-1.773,0.4423,1.6929,1.237,74.505,74.514,36.1244,-17.5185,0.2,0.0,0.0,0.0,-2.0435,0.6801,1.7,2.7438,-0.0978,0,0,0,0.842,0.525,0.475,0,0,0.0,4,SEARCH_PHASE,-1.773,0.4423,-63.3101,39.2786
46,1.283,-27.2217,21.7694,1.371,-1.8047,0.4661,1.6938,1.271,74.54,74.55,36.1244,-17.5185,0.2,0.0,0.0,0.0,-2.0711,0.7193,1.7,2.7743,-0.0817,0,0,0,0.836,0.523,0.477,0,0,0.0,4,SEARCH_PHASE,-1.8047,0.4661,-63.3462,39.2879
47,1.312,-27.2585,21.7792,1.4049,-1.839,0.4901,1.6936,1.305,74.577,74.587,36.1244,-17.5185,0.2,0.0,0.0,0.0,-2.1016,0.7564,1.7,2.8069,-0.1055,0,0,0,0.83,0.516,0.484,0,0,0.0,4,SEARCH_PHASE,-1.839,0.4901,-63.3829,39.2977
48,1.341,-27.296,21.7895,1.4388,-1.873,0.5163,1.6936,1.339,74.614,74.624,36.1244,-17.5185,0.2,0.0,0.0,0.0,-2.092,0.8034,1.7,2.8128,-0.083,0,0,0,0.839,0.514,0.486,0,0,0.0,4,SEARCH_PHASE,-1.873,0.5163,-63.4204,39.308
49,1.371,-27.3341,21.8004,1.4726,-1.9074,0.5421,1.6928,1.373,74.652,74.663,36.1244,-17.5185,0.2,0.0,0.0,0.0,-2.1014,0.8042,1.7,2.82,-0.0794,0,0,0,0.839,0.501,0.499,0,0,0.0,4,SEARCH_PHASE,-1.9074,0.5421,-63.4585,39.3189
50,1.401,-27.3729,21.8118,1.5065,-1.941,0.5699,1.6912,1.406,74.691,74.703,36.1244,-17.5185,0.2,0.0,0.0,0.0,-2.0834,0.8487,1.7,2.8197,-0.1045,0,0,0,0.835,0.495,0.505,0,0,0.0,4,SEARCH_PHASE,-1.941,0.5699,-63.4974,39.3303
51,1.431,-27.4124,21.8238,1.5402,-1.9715,0.5997,1.6888,1.44,74.731,74.743,36.1244,-17.5185,0.2,0.0,0.0,0.0,-2.0714,0.8786,1.7,2.82,-0.0793,0,0,0,0.832,0.493,0.507,0,0,0.0,4,SEARCH_PHASE,-1.9715,0.5997,-63.5368,39.3423
52,1.465,-27.4524,21.8364,1.574,-2.0021,0.6296,1.6868,1.474,74.772,74.784,36.1244,-17.5185,0.2,0.0,0.0,0.0,-2.0895,0.8341,1.7,2.8199,-0.1045,0,0,0,0.829,0.495,0.505,0,0,0.0,4,SEARCH_PHASE,-2.0021,0.6296,-63.5768,39.3549
53,1.495,-27.493,21.8496,1.6076,-2.0294,0.6615,1.6838,1.508,74.813,74.826,36.1244,-17.5185,0.2,0.0,0.0,0.0,-2.0751,0.8698,1.7,2.82,-0.1375,0,0,0,0.835,0.489,0.511,0,0,0.0,4,SEARCH_PHASE,-2.0294,0.6615,-63.6174,39.3681
54,1.527,-27.5341,21.8635,1.6413,-2.0547,0.6931,1.6814,1.541,74.855,74.869,36.1244,-17.5185,0.2,0.0,0.0,0.0,-2.0586,0.9081,1.7,2.82,-0.102,0,0,0,0.833,0.49,0.51,0,0,0.0,4,SEARCH_PHASE,-2.0547,0.6931,-63.6585,39.382
55,1.562,-27.5756,21.8779,1.6749,-2.0771,0.7221,1.6806,1.575,74.898,74.913,36.1244,-17.5185,0.2,0.0,0.0,0.0,-2.0694,0.8833,1.7,2.82,-0.0741,0,0,0,0.831,0.495,0.505,0,0,0.0,4,SEARCH_PHASE,-2.0771,0.7221,-63.7001,39.3964
56,1.593,-27.6176,21.8929,1.7085,-2.0976,0.7511,1.6793,1.608,74.942,74.957,36.1244,-17.5185,0.2,0.0,0.0,0.0,-2.0874,0.8388,1.7,2.8197,-0.097,0,0,0,0.827,0.498,0.502,0,0,0.0,4,SEARCH_PHASE,-2.0976,0.7511,-63.742,39.4114
57,1.622,-27.6599,21.9086,1.742,-2.1127,0.7822,1.6772,1.642,74.986,75.002,36.1244,-17.5185,0.2,0.0,0.0,0.0,-2.1048,0.7941,1.7,2.8197,-0.1387,0,0,0,0.828,0.501,0.499,0,0,0.0,4,SEARCH_PHASE,-2.1127,0.7822,-63.7843,39.4271
58,1.651,-27.7024,21.9248,1.7755,-2.126,0.8136,1.6749,1.676,75.031,75.047,36.1244,-17.5185,0.2,0.0,0.0,0.0,-2.0866,0.8385,1.7,2.8191,-0.1586,0,0,0,0.831,0.501,0.499,0,0,0.0,4,SEARCH_PHASE,-2.126,0.8136,-63.8268,39.4433
59,1.68,-27.7451,21.9417,1.809,-2.1356,0.8421,1.6745,1.709,75.076,75.093,36.1244,-17.5185,0.2,0.0,0.0,0.0,-2.069,0.8832,1.7,2.8197,-0.1318,0,0,0,0.833,0.507,0.493,0,0,0.0,4,SEARCH_PHASE,-2.1356,0.8421,-63.8695,39.4602
60,1.71,-27.788,21.959,1.8425,-2.1445,0.866,1.6759,1.743,75.122,75.14,36.1244,-17.5185,0.2,0.0,0.0,0.0,-2.0492,0.9269,1.7,2.8193,-0.1045,0,0,0,0.832,0.503,0.497,0,0,0.0,4,SEARCH_PHASE,-2.1445,0.866,-63.9124,39.4775
61,1.741,-27.831,21.9767,1.8761,-2.1492,0.8869,1.6777,1.776,75.168,75.186,36.1244,-17.5185,0.2,0.0,0.0,0.0,-2.0393,0.9507,1.7,2.82,-0.1138,0,0,0,0.833,0.488,0.512,0,0,0.0,4,SEARCH_PHASE,-2.1492,0.8869,-63.9554,39.4952
62,1.771,-27.874,21.9949,1.9097,-2.1523,0.9068,1.6795,1.81,75.214,75.233,36.1244,-17.5185,0.2,0.0,0.0,0.0,-2.018,0.9937,1.7,2.8195,-0.0866,0,0,0,0.832,0.483,0.517,0,0,0.0,4,SEARCH_PHASE,-2.1523,0.9068,-63.9984,39.5134
63,1.801,-27.917,22.0134,1.9433,-2.1512,0.9247,1.6815,1.843,75.26,75.28,36.1244,-17.5185,0.2,0.0,0.0,0.0,-1.9967,1.0367,1.7,2.8198,-0.1048,0,0,0,0.832,0.484,0.516,0,0,0.0,4,SEARCH_PHASE,-2.1512,0.9247,-64.0414,39.5319
64,1.831,-27.96,22.0322,1.977,-2.1483,0.9424,1.6832,1.877,75.307,75.327,36.1244,-17.5185,0.2,0.0,0.0,0.0,-1.9775,1.0733,1.7,2.82,-0.0635,0,0,0,0.829,0.486,0.514,0,0,0.0,4,SEARCH_PHASE,-2.1483,0.9424,-64.0844,39.5507
65,1.861,-28.0028,22.0514,2.0107,-2.1415,0.9582,1.6855,1.911,75.353,75.375,36.1244,-17.5185,0.2,0.0,0.0,0.0,-1.9997,1.0308,1.7,2.8199,-0.101,0,0,0,0.838,0.495,0.505,0,0,0.0,4,SEARCH_PHASE,-2.1415,0.9582,-64.1272,39.5699
66,1.889,-28.0455,22.0709,2.0444,-2.1326,0.9752,1.6862,1.944,75.4,75.422,36.1244,-17.5185,0.2,0.0,0.0,0.0,-1.9881,1.0536,1.7,2.82,-0.0814,0,0,0,0.836,0.493,0.507,0,0,0.0,4,SEARCH_PHASE,-2.1326,0.9752,-64.1699,39.5894
67,1.921,-28.0879,22.0907,2.0781,-2.1201,0.9904,1.687,1.978,75.446,75.469,36.1244,-17.5185,0.2,0.0,0.0,0.0,-2.0099,1.0108,1.7,2.8198,-0.1088,0,0,0,0.837,0.495,0.505,0,0,0.0,4,SEARCH_PHASE,-2.1201,0.9904,-64.2123,39.6092
68,1.951,-28.13,22.1108,2.1119,-2.1063,1.0052,1.6867,2.012,75.492,75.517,36.1244,-17.5185,0.2,0.0,0.0,0.0,-2.0034,1.0241,1.7,2.82,-0.097,0,0,0,0.835,0.49,0.51,0,0,0.0,4,SEARCH_PHASE,-2.1063,1.0052,-64.2544,39.6293
69,1.983,-28.1718,22.1311,2.1456,-2.0893,1.0176,1.6865,2.046,75.539,75.564,36.1244,-17.5185,0.2,0.0,0.0,0.0,-2.0144,1.0024,1.7,2.82,-0.093,0,0,0,0.832,0.487,0.513,0,0,0.0,4,SEARCH_PHASE,-2.0893,1.0176,-64.2962,39.6497
70,2.011,-28.2132,22.1517,2.1793,-2.0716,1.0281,1.6858,2.079,75.585,75.611,36.1244,-17.5185,0.2,0.0,0.0,0.0,-1.9983,1.034,1.7,2.82,-0.1134,0,0,0,0.828,0.478,0.522,0,0,0.0,4,SEARCH_PHASE,-2.0716,1.0281,-64.3376,39.6702
