step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc,terrain_id,phase_reason,rel_vx_to_pad,rel_vy_to_pad,pad_frame_dx,pad_frame_dy
45,3.741,20.3499,7.6451,26.5363,-1.4082,-0.6544,1.6943,1.224,30.618,40.386,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.5819,-0.9968,1.7,2.527,-0.6028,0,0,0,0.743,0.16,0.84,0,0,0.0,3,SEARCH_PHASE,-1.4082,-0.6544,24.4866,18.3812
46,3.813,20.3214,7.6311,26.5702,-1.4247,-0.7018,1.6939,1.251,30.587,40.385,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.607,-1.0377,1.7,2.5591,-0.6054,0,0,0,0.714,0.15,0.85,0,0,0.0,3,SEARCH_PHASE,-1.4247,-0.7018,24.4581,18.3672
47,3.884,20.2926,7.6161,26.6041,-1.4399,-0.7494,1.6936,1.278,30.555,40.383,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.632,-1.0787,1.7,2.5917,-0.5969,0,0,0,0.7,0.147,0.853,0,0,0.0,3,SEARCH_PHASE,-1.4399,-0.7494,24.4293,18.3522
48,3.956,20.2635,7.6001,26.6379,-1.4575,-0.7976,1.6928,1.305,30.522,40.38,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.657,-1.1196,1.7,2.6248,-0.5988,0,0,0,0.662,0.142,0.858,0,0,0.0,3,SEARCH_PHASE,-1.4575,-0.7976,24.4001,18.3362
49,4.024,20.234,7.5832,26.6718,-1.4742,-0.846,1.6923,1.332,30.488,40.377,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.682,-1.1606,1.7,2.6582,-0.5915,0,0,0,0.655,0.142,0.858,0,0,0.0,3,SEARCH_PHASE,-1.4742,-0.846,24.3706,18.3193
50,4.092,20.2041,7.5653,26.7056,-1.4939,-0.8949,1.6912,1.36,30.453,40.373,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7069,-1.2017,1.7,2.6921,-0.5849,0,0,0,0.619,0.141,0.859,0,0,0.0,3,SEARCH_PHASE,-1.4939,-0.8949,24.3407,18.3014
51,4.158,20.1739,7.5464,26.7394,-1.5131,-0.944,1.6904,1.387,30.418,40.368,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7318,-1.2427,1.7,2.7264,-0.5787,0,0,0,0.631,0.135,0.865,0,0,0.0,3,SEARCH_PHASE,-1.5131,-0.944,24.3105,18.2825
52,4.224,20.1432,7.5266,26.7732,-1.5352,-0.993,1.6892,1.415,30.381,40.363,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7566,-1.2838,1.7,2.7611,-0.5784,0,0,0,0.581,0.133,0.867,0,0,0.0,3,SEARCH_PHASE,-1.5352,-0.993,24.2798,18.2627
53,4.289,20.112,7.5057,26.807,-1.5566,-1.0414,1.6885,1.442,30.344,40.357,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7814,-1.3249,1.7,2.7962,-0.5729,0,0,0,0.542,0.129,0.871,0,0,0.0,3,SEARCH_PHASE,-1.5566,-1.0414,24.2487,18.2418
54,4.355,20.0804,7.484,26.8407,-1.5813,-1.0896,1.6872,1.47,30.306,40.35,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.798,-1.3527,1.7,2.82,-0.5531,0,0,0,0.437,0.127,0.873,0,0,0.0,3,SEARCH_PHASE,-1.5813,-1.0896,24.217,18.22
