step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc
81,0.615,-8.028,8.1564,3.8309,-1.712,1.5526,1.2477,4.451,12.951,13.45,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.4392,1.6743,1.124,2.4775,0.3311,0,0,0,0.665,0.333,0.667,0,0,0.0
82,0.623,-8.0616,8.1878,3.8549,-1.684,1.5721,1.201,4.48,12.906,13.413,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.4229,1.6859,1.076,2.4546,0.3495,0,0,0,0.665,0.337,0.663,0,0,0.0
83,0.63,-8.0948,8.2197,3.878,-1.6552,1.5904,1.1534,4.507,12.861,13.376,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.3886,1.7123,1.028,2.4325,0.3388,0,0,0,0.662,0.333,0.667,0,0,0.0
84,0.638,-8.1272,8.2518,3.9001,-1.6242,1.609,1.1057,4.534,12.816,13.339,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.3836,1.7143,0.98,2.4112,0.3528,0,0,0,0.663,0.335,0.665,0,0,0.0
85,0.645,-8.1591,8.2844,3.9213,-1.5932,1.627,1.0578,4.559,12.771,13.302,-15.4453,18.7729,0.2,0.0,0.0,0.0,-1.3557,1.7345,0.932,2.3907,0.3335,0,0,0,0.66,0.335,0.665,0,0,0.0
86,0.653,-8.1903,8.3173,3.9415,-1.5601,1.6452,1.0093,4.583,12.726,13.265,-15.4453,18.7728,0.2,0.0003,-0.0068,0.0,-1.3361,1.7418,0.884,2.3665,0.3295,0,0,0,0.659,0.335,0.665,0,0,0.0
87,0.661,-8.2208,8.3505,3.9607,-1.5267,1.6631,0.9607,4.607,12.681,13.227,-15.4452,18.772,0.2,0.0016,-0.0383,0.0,-1.304,1.7364,0.836,2.3269,0.327,0,0,0,0.655,0.328,0.672,0,0,0.0
88,0.668,-8.2507,8.3841,3.9789,-1.4921,1.6799,0.912,4.629,12.635,13.188,-15.4452,18.7706,0.2,0.003,-0.0715,0.0,-1.2871,1.7177,0.788,2.2865,0.3313,0,0,0,0.653,0.324,0.676,0,0,0.0
89,0.676,-8.2799,8.418,3.9962,-1.4589,1.6948,0.8625,4.651,12.589,13.149,-15.4451,18.7685,0.2,0.0043,-0.1043,0.0,-1.2641,1.7035,0.74,2.2467,0.3239,0,0,0,0.648,0.321,0.679,0,0,0.0
90,0.683,-8.3083,8.4522,4.0124,-1.4246,1.7085,0.8128,4.669,12.542,13.109,-15.445,18.7658,0.2,0.0057,-0.1365,0.0,-1.253,1.6811,0.692,2.208,0.3231,0,0,0,0.645,0.314,0.686,0,0,0.0
91,0.691,-8.3362,8.4866,4.0277,-1.3917,1.7204,0.7635,4.685,12.495,13.068,-15.4448,18.7624,0.2,0.007,-0.1683,0.0,-1.2414,1.6595,0.644,2.1702,0.3151,0,0,0,0.638,0.304,0.696,0,0,0.0
92,0.699,-8.3634,8.5212,4.042,-1.3584,1.7303,0.7141,4.699,12.448,13.027,-15.4447,18.7584,0.2,0.0083,-0.1995,0.0,-1.239,1.6318,0.596,2.1338,0.3115,0,0,0,0.633,0.301,0.699,0,0,0.0
