step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc,terrain_id,phase_reason,rel_vx_to_pad,rel_vy_to_pad
44,3.861,20.3809,7.6789,26.5034,-1.4156,-0.5775,1.6926,0.926,30.663,40.399,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.5555,-0.949,1.7,2.4921,-0.5859,0,0,0,0.725,0.15,0.85,0,0,0.0,3,SEARCH_PHASE,-1.4156,-0.5775
45,3.935,20.3522,7.6663,26.5372,-1.4356,-0.6293,1.6921,1.22,30.632,40.398,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.5804,-0.9901,1.7,2.5235,-0.621,0,0,0,0.727,0.146,0.854,0,0,0.0,3,SEARCH_PHASE,-1.4356,-0.6293
46,4.008,20.3231,7.6527,26.5711,-1.4561,-0.6793,1.6917,1.247,30.601,40.396,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.6051,-1.0312,1.7,2.5554,-0.573,0,0,0,0.699,0.146,0.854,0,0,0.0,3,SEARCH_PHASE,-1.4561,-0.6793
47,4.079,20.2935,7.6381,26.6049,-1.4763,-0.7311,1.6907,1.273,30.569,40.394,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.6299,-1.0724,1.7,2.5877,-0.6078,0,0,0,0.694,0.149,0.851,0,0,0.0,3,SEARCH_PHASE,-1.4763,-0.7311
48,4.145,20.2636,7.6225,26.6387,-1.4971,-0.7807,1.69,1.3,30.535,40.391,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.6545,-1.1135,1.7,2.6206,-0.5598,0,0,0,0.641,0.14,0.86,0,0,0.0,3,SEARCH_PHASE,-1.4971,-0.7807
49,4.211,20.2332,7.6058,26.6725,-1.518,-0.8318,1.689,1.327,30.501,40.387,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.6792,-1.1547,1.7,2.6539,-0.5949,0,0,0,0.639,0.141,0.859,0,0,0.0,3,SEARCH_PHASE,-1.518,-0.8318
50,4.277,20.2024,7.5882,26.7062,-1.5394,-0.8803,1.6885,1.354,30.466,40.383,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7037,-1.196,1.7,2.6876,-0.5468,0,0,0,0.62,0.137,0.863,0,0,0.0,3,SEARCH_PHASE,-1.5394,-0.8803
51,4.343,20.1712,7.5696,26.74,-1.561,-0.9297,1.6877,1.38,30.43,40.377,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7282,-1.2372,1.7,2.7217,-0.5816,0,0,0,0.601,0.137,0.863,0,0,0.0,3,SEARCH_PHASE,-1.561,-0.9297
52,4.409,20.1396,7.5501,26.7737,-1.5833,-0.9762,1.6874,1.408,30.393,40.372,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7527,-1.2785,1.7,2.7562,-0.5374,0,0,0,0.505,0.134,0.866,0,0,0.0,3,SEARCH_PHASE,-1.5833,-0.9762
53,4.478,20.1074,7.5296,26.8075,-1.6059,-1.0232,1.687,1.435,30.355,40.365,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.777,-1.3199,1.7,2.7911,-0.5721,0,0,0,0.486,0.135,0.865,0,0,0.0,3,SEARCH_PHASE,-1.6059,-1.0232
54,4.543,20.0749,7.5083,26.8412,-1.6287,-1.0672,1.6871,1.462,30.316,40.358,-4.1366,-10.7361,0.2,0.0,0.0,0.0,-1.7969,-1.3541,1.7,2.82,-0.5262,0,0,0,0.468,0.14,0.86,0,0,0.0,3,SEARCH_PHASE,-1.6287,-1.0672
