step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc,terrain_id,phase_reason,rel_vx_to_pad,rel_vy_to_pad,pad_frame_dx,pad_frame_dy
59,0.472,3.5969,0.9937,5.5383,-1.8345,-1.1504,1.4636,5.613,11.356,12.548,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.8196,-1.1506,1.364,2.5486,-0.5078,0,0,0,0.479,0.196,0.804,0,0,0.0,2,SEARCH_PHASE,-1.8345,-1.1504,9.5983,6.0696
60,0.48,3.56,0.9703,5.5666,-1.8451,-1.1704,1.418,5.64,11.313,12.521,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.8183,-1.1498,1.316,2.522,-0.5235,0,0,0,0.473,0.191,0.809,0,0,0.0,2,SEARCH_PHASE,-1.8451,-1.1704,9.5614,6.0461
61,0.489,3.5229,0.9465,5.5941,-1.8536,-1.1868,1.3724,5.666,11.269,12.493,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.8171,-1.149,1.268,2.4959,-0.4923,0,0,0,0.463,0.188,0.812,0,0,0.0,2,SEARCH_PHASE,-1.8536,-1.1868,9.5243,6.0224
62,0.496,3.4857,0.9225,5.6206,-1.8608,-1.201,1.3272,5.691,11.224,12.465,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.8158,-1.1481,1.22,2.4706,-0.5246,0,0,0,0.46,0.19,0.81,0,0,0.0,2,SEARCH_PHASE,-1.8608,-1.201,9.4871,5.9984
63,0.504,3.4484,0.8983,5.6463,-1.8658,-1.2114,1.2821,5.715,11.18,12.436,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.8146,-1.1472,1.172,2.4459,-0.4808,0,0,0,0.452,0.18,0.82,0,0,0.0,2,SEARCH_PHASE,-1.8658,-1.2114,9.4498,5.9742
64,0.512,3.411,0.8739,5.671,-1.869,-1.2202,1.2368,5.738,11.135,12.407,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.8134,-1.1463,1.124,2.4219,-0.5124,0,0,0,0.449,0.18,0.82,0,0,0.0,2,SEARCH_PHASE,-1.869,-1.2202,9.4124,5.9498
65,0.52,3.3736,0.8494,5.6948,-1.8699,-1.2249,1.1912,5.76,11.091,12.377,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.8121,-1.1453,1.076,2.3986,-0.4778,0,0,0,0.438,0.186,0.814,0,0,0.0,2,SEARCH_PHASE,-1.8699,-1.2249,9.375,5.9253
66,0.528,3.3362,0.8248,5.7177,-1.8689,-1.2279,1.1456,5.782,11.046,12.347,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.8109,-1.1444,1.028,2.3761,-0.5099,0,0,0,0.435,0.18,0.82,0,0,0.0,2,SEARCH_PHASE,-1.8689,-1.2279,9.3376,5.9007
67,0.535,3.2989,0.8003,5.7397,-1.8663,-1.2273,1.0995,5.802,11.001,12.317,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.8097,-1.1434,0.98,2.3543,-0.4695,0,0,0,0.424,0.174,0.826,0,0,0.0,2,SEARCH_PHASE,-1.8663,-1.2273,9.3003,5.8762
68,0.543,3.2617,0.7758,5.7608,-1.8624,-1.2254,1.0534,5.821,10.957,12.287,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.8085,-1.1425,0.932,2.3333,-0.5019,0,0,0,0.419,0.173,0.827,0,0,0.0,2,SEARCH_PHASE,-1.8624,-1.2254,9.2631,5.8516
69,0.55,3.2245,0.7514,5.7809,-1.8571,-1.2199,1.0065,5.84,10.912,12.256,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.8073,-1.1415,0.884,2.3132,-0.497,0,0,0,0.412,0.167,0.833,0,0,0.0,2,SEARCH_PHASE,-1.8571,-1.2199,9.2259,5.8273
70,0.558,3.1875,0.7271,5.8001,-1.8508,-1.2133,0.9594,5.858,10.868,12.226,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.8061,-1.1406,0.836,2.2938,-0.5052,0,0,0,0.413,0.167,0.833,0,0,0.0,2,SEARCH_PHASE,-1.8508,-1.2133,9.1889,5.803
71,0.565,3.1506,0.703,5.8184,-1.8439,-1.2054,0.9124,5.875,10.824,12.195,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.8049,-1.1397,0.788,2.2754,-0.493,0,0,0,0.404,0.163,0.837,0,0,0.0,2,SEARCH_PHASE,-1.8439,-1.2054,9.152,5.7789
72,0.573,3.1139,0.6791,5.8357,-1.8357,-1.1971,0.8651,5.891,10.78,12.164,-6.0014,-5.0759,0.2,0.0,0.0,0.0,-1.8037,-1.1387,0.74,2.2578,-0.4994,0,0,0,0.405,0.165,0.835,0,0,0.0,2,SEARCH_PHASE,-1.8357,-1.1971,9.1153,5.7549
