step,time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,agl,dist_xy,dist_3d,target_x,target_y,target_z,plat_vel_x,plat_vel_y,plat_vel_z,cmd_vx,cmd_vy,cmd_vz,cmd_speed,cmd_yaw,landing_phase,descent_phase,assist_type,collision_risk,clutter_density,navigability,escape_active,pred_escape_active,threat_acc,terrain_id,phase_reason,rel_vx_to_pad,rel_vy_to_pad,pad_frame_dx,pad_frame_dy
41,1.797,8.4199,1.5138,4.6576,-1.3732,-0.3548,1.6859,0.822,9.506,10.499,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.5,-0.6493,1.7,2.3583,-0.6228,0,0,0,0.572,0.214,0.786,0,0,0.0,5,SEARCH_PHASE,-1.3732,-0.3548,8.0226,5.0984
42,1.834,8.3921,1.506,4.6913,-1.3929,-0.3899,1.6885,0.856,9.478,10.488,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.5233,-0.6913,1.7,2.385,-0.6405,0,0,0,0.57,0.21,0.79,0,0,0.0,5,SEARCH_PHASE,-1.3929,-0.3899,7.9948,5.0906
43,1.869,8.3638,1.4975,4.7251,-1.4116,-0.4242,1.6908,0.89,9.45,10.477,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.5463,-0.7333,1.7,2.4123,-0.6316,0,0,0,0.573,0.215,0.785,0,0,0.0,5,SEARCH_PHASE,-1.4116,-0.4242,7.9666,5.0822
44,1.905,8.3352,1.4883,4.759,-1.431,-0.4595,1.6921,4.739,9.421,10.466,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.5692,-0.7755,1.7,2.4401,-0.6335,0,0,0,0.571,0.216,0.784,0,0,0.0,5,SEARCH_PHASE,-1.431,-0.4595,7.9379,5.073
45,1.939,8.3063,1.4784,4.7929,-1.4479,-0.4955,1.6935,4.773,9.391,10.454,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.5919,-0.8178,1.7,2.4684,-0.6246,0,0,0,0.574,0.226,0.774,0,0,0.0,5,SEARCH_PHASE,-1.4479,-0.4955,7.909,5.0631
46,1.975,8.2769,1.4678,4.8267,-1.466,-0.5326,1.6943,4.807,9.36,10.441,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.6144,-0.8603,1.7,2.4973,-0.6251,0,0,0,0.571,0.222,0.778,0,0,0.0,5,SEARCH_PHASE,-1.466,-0.5326,7.8797,5.0524
47,2.008,8.2473,1.4563,4.8606,-1.482,-0.5703,1.695,4.841,9.329,10.429,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.6366,-0.9028,1.7,2.5266,-0.6172,0,0,0,0.573,0.223,0.777,0,0,0.0,5,SEARCH_PHASE,-1.482,-0.5703,7.85,5.041
48,2.042,8.2173,1.4442,4.8945,-1.4998,-0.6092,1.6953,4.875,9.297,10.415,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.6585,-0.9455,1.7,2.5563,-0.6172,0,0,0,0.569,0.218,0.782,0,0,0.0,5,SEARCH_PHASE,-1.4998,-0.6092,7.82,5.0288
49,2.079,8.187,1.4312,4.9285,-1.5159,-0.6487,1.6958,4.908,9.265,10.402,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.6801,-0.9884,1.7,2.5864,-0.6105,0,0,0,0.57,0.223,0.777,0,0,0.0,5,SEARCH_PHASE,-1.5159,-0.6487,7.7897,5.0158
50,2.116,8.1563,1.4174,4.9624,-1.5342,-0.6893,1.6958,4.942,9.232,10.388,0.3973,-3.5847,0.2,0.0,0.0,0.0,-1.7012,-1.0315,1.7,2.6169,-0.6095,0,0,0,0.565,0.22,0.78,0,0,0.0,5,SEARCH_PHASE,-1.5342,-0.6893,7.759,5.0021
